Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
prokinetics-artic-de-joelho-livre-grande-aco-hastes-alum-par,"Artic. de joelho LIVRE, grande, aço, hastes alum. (par)","<p>Artic. de joelho LIVRE, grande, aço, hastes alum. (par) 1.629,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1005-A6</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1005-A6,shopify,0,deny,manual,850.00,,TRUE,TRUE,,"Artic. de joelho LIVRE, grande, aço, hastes alum. (par)",active
prokinetics-artic-de-joelho-livre-grande-aco-hastes-aco-par,"Artic. de joelho LIVRE, grande, aço, hastes AÇO (par)","<p>Artic. de joelho LIVRE, grande, aço, hastes AÇO (par) 1.671,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1005-A6S</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1005-A6S,shopify,0,deny,manual,850.00,,TRUE,TRUE,,"Artic. de joelho LIVRE, grande, aço, hastes AÇO (par)",active
prokinetics-artic-de-joelho-livre-media-aco-hastes-alum-par,"Artic. de joelho LIVRE, média, aço, hastes alum. (par)","<p>Artic. de joelho LIVRE, média, aço, hastes alum. (par) 1.544,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1005-B6</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1005-B6,shopify,0,deny,manual,850.00,,TRUE,TRUE,,"Artic. de joelho LIVRE, média, aço, hastes alum. (par)",active
prokinetics-artic-de-joelho-trava-anel-c-ajuste-ext-grande-hastes-alum-par,"Artic. de joelho trava ANEL, c/ajuste EXT, grande, hastes alum (par)","<p>Artic. de joelho trava ANEL, c/ajuste EXT, grande, hastes alum (par) 2.262,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1006-A6</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1006-A6,shopify,0,deny,manual,850.00,,TRUE,TRUE,,"Artic. de joelho trava ANEL, c/ajuste EXT, grande, hastes alum (par)",active
prokinetics-artic-de-joelho-trava-anel-c-ajuste-ext-media-hastes-alum-par,"Artic. de joelho trava ANEL, c/ajuste EXT, média, hastes alum (par)","<p>Artic. de joelho trava ANEL, c/ajuste EXT, média, hastes alum (par) 2.222,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1006-B6</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1006-B6,shopify,0,deny,manual,850.00,,TRUE,TRUE,,"Artic. de joelho trava ANEL, c/ajuste EXT, média, hastes alum (par)",active
prokinetics-artic-de-joelho-livre-eixo-posterior-grande-aco-hastes-alum-par,"Artic. de joelho LIVRE, eixo posterior, grande, aço, hastes alum (par)","<p>Artic. de joelho LIVRE, eixo posterior, grande, aço, hastes alum (par) 1.720,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1008-A6</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1008-A6,shopify,0,deny,manual,850.00,,TRUE,TRUE,,"Artic. de joelho LIVRE, eixo posterior, grande, aço, hastes alum (par)",active
prokinetics-artic-de-joelho-livre-eixo-posterior-grande-aco-hastes-aco-par,"Artic. de joelho LIVRE, eixo posterior, grande, aço, hastes AÇO (par)","<p>Artic. de joelho LIVRE, eixo posterior, grande, aço, hastes AÇO (par) 1.739,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1008-A6S</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1008-A6S,shopify,0,deny,manual,850.00,,TRUE,TRUE,,"Artic. de joelho LIVRE, eixo posterior, grande, aço, hastes AÇO (par)",active
prokinetics-artic-de-joelho-livre-eixo-posterior-media-aco-hastes-alum-par,"Artic. de joelho LIVRE, eixo posterior, média, aço, hastes alum (par)","<p>Artic. de joelho LIVRE, eixo posterior, média, aço, hastes alum (par) 1.720,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1008-B6</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1008-B6,shopify,0,deny,manual,850.00,,TRUE,TRUE,,"Artic. de joelho LIVRE, eixo posterior, média, aço, hastes alum (par)",active
prokinetics-artic-de-joelho-policentrica-grande-aco-hastes-alum-par,"Artic. de joelho POLICÊNTRICA, grande, aço, hastes alum (par)","<p>Artic. de joelho POLICÊNTRICA, grande, aço, hastes alum (par) 2.114,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1009-A6</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1009-A6,shopify,0,deny,manual,850.00,,TRUE,TRUE,,"Artic. de joelho POLICÊNTRICA, grande, aço, hastes alum (par)",active
prokinetics-artic-de-joelho-policentrica-grande-aco-hastes-aco-par,"Artic. de joelho POLICÊNTRICA, grande, aço, hastes AÇO (par)","<p>Artic. de joelho POLICÊNTRICA, grande, aço, hastes AÇO (par) 2.145,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1009-A6S</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1009-A6S,shopify,0,deny,manual,850.00,,TRUE,TRUE,,"Artic. de joelho POLICÊNTRICA, grande, aço, hastes AÇO (par)",active
