Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
prokinetics-estribo-bilateral-p-artic-3025-aco-un,,,,,,,,Espessura,254 mm,3000-A10,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-estribo-bilateral-p-artic-3225-a-aco-un,"Estribo bilateral p/artic. 3225-A, , aço (un)","<p>Estribo bilateral p/artic. 3225-A, , aço (un) — distribuído pela minha prótese com nota fiscal e garantia de origem da ProKinetics.</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,,ProKinetics,TRUE,Espessura,216 mm,3200-A8,shopify,0,deny,manual,,TRUE,TRUE,,"Estribo bilateral p/artic. 3225-A, , aço (un)",draft
prokinetics-estribo-bilateral-p-artic-3225-a-aco-un,,,,,,,,Espessura,228 mm,3200-A9,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-estribo-bilateral-p-artic-3225-a-aco-un,,,,,,,,Espessura,254 mm,3200-A10,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-reforco-de-carbono-compcore-r-1-30x30-cm-un,"Reforço de carbono COMPCORE® 1,, 30x30 cm (un)","<p>Reforço de carbono COMPCORE® 1,, 30x30 cm (un) — distribuído pela minha prótese com nota fiscal e garantia de origem da ProKinetics.</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,,ProKinetics,TRUE,Espessura,5 mm,MCC-412,shopify,0,deny,manual,,TRUE,TRUE,,"Reforço de carbono COMPCORE® 1,, 30x30 cm (un)",draft
prokinetics-reforco-de-carbono-compcore-r-1-30x30-cm-un,,,,,,,,Espessura,2 mm,MCC-415,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-cone-de-pva-10-cm-2-un,Cone de PVA 10 cm (2 un),<p>Cone de PVA 10 cm (2 un) — distribuído pela minha prótese com nota fiscal e garantia de origem da ProKinetics.</p>,ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,,ProKinetics,TRUE,Tamanho,10,9F81-10,shopify,0,deny,manual,,TRUE,TRUE,,Cone de PVA 10 cm (2 un),draft
prokinetics-cone-de-pva-10-cm-2-un,,,,,,,,Tamanho,15,9F81-15,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-cone-de-pva-10-cm-2-un,,,,,,,,Tamanho,20,9F81-20,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-cone-de-pva-10-cm-2-un,,,,,,,,Tamanho,25,9F81-25,shopify,0,deny,manual,,TRUE,TRUE,,,
